"Product Name","Description","Brand","ProductPageUrl","OverallRatingRange","SecondaryRatingsAveragesQuality","SecondaryRatingsAveragesValue","Id","CID","SourceClient","LastModificationTime","LastModeratedTime","ProductId","CampaignId","UserLocation","AuthorId","IsFeatured","TotalClientResponseCount","TotalCommentCount","Rating","IsRecommended","Helpfulness","TotalFeedbackCount","TotalNegativeFeedbackCount","TotalPositiveFeedbackCount","ModerationStatus","SubmissionTime","ReviewText","Title","UserNickname","SecondaryRatings_Value_Value","SecondaryRatings_Quality_Value"
"Applicator Mitt","Our secret weapon for flawless self tan application! A soft, washable mitt for applying self-tanning products.
This mitt ensures an even, streak-free application of St. Tropez Mousse and Spray products and protects the palms from staining.","St. Tropez","https://www.beautyboutique.ca/Categories/Bath-%26-Body/Sun-Care/Self-Tanning/Applicator-Mitt/p/BB_5060022305410","5","4.26666666667","4.26666666667","171970348","3beed0a6-6ad5-579d-98ab-66fe35834fd8","beautyboutique","2017-01-01T17:33:43.000+00:00","2017-01-01T17:33:43.000+00:00","5060022305410","BV_REVIEW_DISPLAY","Nova Scotia, Canada","anbnwbnl8886drxd7l538vmac","False","0","0","2","False","1.0","3","0","3","APPROVED","2016-12-30T16:17:18.000+00:00","Although I do use the mitt to apply my tan and it works great for that, the product is stained onto the mitt constantly dispite washing.  It also falls apart.  I hand wash it in warm water with Dove Sensitive Body Wash (a mild soap) after each use.  I only get about 3-4 weeks use out of it (I apply my tan every 3-5 days) before the black backing on it falls off and it is unusable.  Not a good quality product especially for $9.00 a piece.","Poor Quality","Crystal273190","1","2"
"Applicator Mitt","Our secret weapon for flawless self tan application! A soft, washable mitt for applying self-tanning products.
This mitt ensures an even, streak-free application of St. Tropez Mousse and Spray products and protects the palms from staining.","St. Tropez","https://www.beautyboutique.ca/Categories/Bath-%26-Body/Sun-Care/Self-Tanning/Applicator-Mitt/p/BB_5060022305410","5","4.26666666667","4.26666666667","176676852","215dbd34-2c00-5ef7-803f-21cd64a87216","beautyboutique","2017-02-17T04:30:04.000+00:00","2017-02-17T04:30:04.000+00:00","5060022305410","BV_REVIEW_DISPLAY","Kincardine, ON, Canada","qapfpcd5swzksp2sthdae5e9z","False","0","0","5","","1.0","1","0","1","APPROVED","2017-02-17T03:56:07.000+00:00","The mitt turns orange and ends up looking nasty and dirty after just a couple uses, but as long as you wash it after every use you're going to be fine. 

Definitely get a mitt rather than using your hand to apply any sort of self-tanner, though - not just St Tropaz products. You will regret NOT using a mitt, but you'll probably want to give your hands a good wash even after using the mitt just to be sure you don't end up with any orange blobs on your palms or wrists.","Does the trick","Ali Kinc","5","4"
"Applicator Mitt","Our secret weapon for flawless self tan application! A soft, washable mitt for applying self-tanning products.
This mitt ensures an even, streak-free application of St. Tropez Mousse and Spray products and protects the palms from staining.","St. Tropez","https://www.beautyboutique.ca/Categories/Bath-%26-Body/Sun-Care/Self-Tanning/Applicator-Mitt/p/BB_5060022305410","5","4.26666666667","4.26666666667","182617568","19540644-a5b5-53c9-8499-3bbc73f2236a","beautyboutique","2017-05-01T04:30:06.000+00:00","2017-05-01T04:30:06.000+00:00","5060022305410","BV_REVIEW_DISPLAY","Halifax, NS","a6018g1hqlm1wg2dsgliyi4fp","False","0","0","2","","1.0","1","0","1","APPROVED","2017-05-01T03:38:31.000+00:00","I love the mit but its the quality I hate. I won't sunless tan without one. Maybe its because I'm a male but if lucky it will last 4 uses max before the glue lets go on the seam. I have tried washing it gently like the instructions said but seems to last longer without washing and the short period it last I dont think it matters. I'm going to try sewing the seam on this one before i use it.","One time USE","sElfXd","1","1"
"Applicator Mitt","Our secret weapon for flawless self tan application! A soft, washable mitt for applying self-tanning products.
This mitt ensures an even, streak-free application of St. Tropez Mousse and Spray products and protects the palms from staining.","St. Tropez","https://www.beautyboutique.ca/Categories/Bath-%26-Body/Sun-Care/Self-Tanning/Applicator-Mitt/p/BB_5060022305410","5","4.26666666667","4.26666666667","176766222","ce9114cf-97f4-57ca-8e89-a1873261e8fe","beautyboutique","2017-02-18T16:30:16.000+00:00","2017-02-18T16:30:16.000+00:00","5060022305410","BV_REVIEW_DISPLAY","Kingston, ON, Canada","owgxzgabmbku5938ks3ia8mn2","False","0","0","5","True","1.0","1","0","1","APPROVED","2017-02-18T16:09:04.000+00:00","This product definitely applies the self tanner really well.  I have never had an issue with streaks or missing any spots.  This mitt blends the tan into one even layer perfectly!  I also really like there smaller sizes to use on my face.  They allow me to blend around the contours of my face without creating a buildup on the skin.","Great applicator!","Natalie18","5","5"
"Applicator Mitt","Our secret weapon for flawless self tan application! A soft, washable mitt for applying self-tanning products.
This mitt ensures an even, streak-free application of St. Tropez Mousse and Spray products and protects the palms from staining.","St. Tropez","https://www.beautyboutique.ca/Categories/Bath-%26-Body/Sun-Care/Self-Tanning/Applicator-Mitt/p/BB_5060022305410","5","4.26666666667","4.26666666667","177703185","43395f6f-0ec3-5341-8882-ed79ebdcc189","beautyboutique","2017-03-01T17:45:24.000+00:00","2017-03-01T17:45:24.000+00:00","5060022305410","BV_REVIEW_DISPLAY","GTA","6amqtssdceoqex83ccd8kfjlf","False","0","0","5","True","1.0","1","0","1","APPROVED","2017-03-01T17:11:10.000+00:00","This tan applicator mitt is a game changer for self-tanning. Works well to protect hands from the dreaded spray tan hand and helps ensure smooth application. I love that it is made in the UK and feels soft and is washable. Jenuine Tip: the small mitt is great for the face and doing contouring with your fav self tanner.","Great Mitt for Tan Application","JenuineOne","5","5"
"Applicator Mitt","Our secret weapon for flawless self tan application! A soft, washable mitt for applying self-tanning products.
This mitt ensures an even, streak-free application of St. Tropez Mousse and Spray products and protects the palms from staining.","St. Tropez","https://www.beautyboutique.ca/Categories/Bath-%26-Body/Sun-Care/Self-Tanning/Applicator-Mitt/p/BB_5060022305410","5","4.26666666667","4.26666666667","151876961","e3402367-f3d5-5387-a0f7-bc3d3318f9bb","beautyboutique","2016-06-01T18:15:30.000+00:00","2016-06-01T18:15:30.000+00:00","5060022305410","BV_REVIEW_DISPLAY","Oakville, ON, Canada","hnv5hjycb1iakamhhro0c98d1","False","0","0","5","True","1.0","1","0","1","APPROVED","2016-05-29T19:47:32.000+00:00","This is an excellent applicator Mitt.  I have had mine for over a year and it is still in perfect condition.  I wash it in mild detergent and let it dry and it's ready for the next time I use it.  I have tried another brand, but St. Tropez is a far superior product.  You won't be disappointed.","Love this Mitt","susan58","5","5"
"Applicator Mitt","Our secret weapon for flawless self tan application! A soft, washable mitt for applying self-tanning products.
This mitt ensures an even, streak-free application of St. Tropez Mousse and Spray products and protects the palms from staining.","St. Tropez","https://www.beautyboutique.ca/Categories/Bath-%26-Body/Sun-Care/Self-Tanning/Applicator-Mitt/p/BB_5060022305410","5","4.26666666667","4.26666666667","151989535","6d3802b1-cbef-5ab5-ac18-08263999be2f","beautyboutique","2016-06-04T04:45:06.000+00:00","2016-06-04T04:45:06.000+00:00","5060022305410","BV_REVIEW_DISPLAY","Toronto, ON","76p44d959fbyqcoz5m8q01l4u","False","0","0","5","True","1.0","1","0","1","APPROVED","2016-05-31T17:42:29.000+00:00","This is a must-have for me when self tanning. Before using this product I could never seem to get a smooth, even application, but this has made all the difference. Mine has lasted through many uses and washes well. I use it with another brand's self-tanning foam.","Won't self-tan without it","jallycat37","",""
"Applicator Mitt","Our secret weapon for flawless self tan application! A soft, washable mitt for applying self-tanning products.
This mitt ensures an even, streak-free application of St. Tropez Mousse and Spray products and protects the palms from staining.","St. Tropez","https://www.beautyboutique.ca/Categories/Bath-%26-Body/Sun-Care/Self-Tanning/Applicator-Mitt/p/BB_5060022305410","5","4.26666666667","4.26666666667","151951165","bd90c0f4-7a4f-5d9f-b842-060d5dc4062a","beautyboutique","2016-06-02T11:16:14.000+00:00","2016-06-02T11:16:14.000+00:00","5060022305410","BV_REVIEW_DISPLAY","Portage la Prairie, MB, Canada","ad557z669m93bw4dz1s8n4bpa","False","0","0","5","","1.0","1","0","1","APPROVED","2016-05-31T03:04:07.000+00:00","I love love love this mitt! It works amazing! No streaks at all! Definitely recommend it!","Love!!!","Jenelle","5","5"
"Applicator Mitt","Our secret weapon for flawless self tan application! A soft, washable mitt for applying self-tanning products.
This mitt ensures an even, streak-free application of St. Tropez Mousse and Spray products and protects the palms from staining.","St. Tropez","https://www.beautyboutique.ca/Categories/Bath-%26-Body/Sun-Care/Self-Tanning/Applicator-Mitt/p/BB_5060022305410","5","4.26666666667","4.26666666667","177166771","49623c1a-f358-5c6a-bbd2-0404b0a73d53","beautyboutique","2017-02-24T11:30:08.000+00:00","2017-02-24T11:30:08.000+00:00","5060022305410","BV_REVIEW_DISPLAY","Toronto, ON, Canada","3rje40wga61idevmj1w29j0c4","False","0","0","4","True","","0","0","0","APPROVED","2017-02-24T06:03:31.000+00:00","The mitt works well and does it's job but the self tanner gets soaked into the mitt and now there's more product in the mitt then on me. I could've gotten another use out of the tanner if it wasn't all stuck in the mitt","Great!","Nics","4","5"
"Applicator Mitt","Our secret weapon for flawless self tan application! A soft, washable mitt for applying self-tanning products.
This mitt ensures an even, streak-free application of St. Tropez Mousse and Spray products and protects the palms from staining.","St. Tropez","https://www.beautyboutique.ca/Categories/Bath-%26-Body/Sun-Care/Self-Tanning/Applicator-Mitt/p/BB_5060022305410","5","4.26666666667","4.26666666667","177839586","440ae1dd-e307-5d1f-bbe7-8f97406f34cf","beautyboutique","2017-03-04T14:15:33.000+00:00","2017-03-04T14:15:33.000+00:00","5060022305410","BV_REVIEW_DISPLAY","St. Albert, AB, Canada","h69qxgla3i4xjikxgk8nc6qgy","False","0","0","4","True","","0","0","0","APPROVED","2017-03-04T06:08:47.000+00:00","I have been using this mitt with the classic tan mousse for 3 years. Works really well, but I have to be careful with my long nails as I have punctured though the top of the mitt previously.","Streak free tan","KayKat","4","4"
